Round,Loss
1,3.7511179447174072
2,13.679092407226562
3,0.8992377519607544
4,2.059173107147217
5,0.5797231793403625
6,0.42379480600357056
7,0.4241335690021515
8,0.418001651763916
9,0.4244922697544098
10,0.40240901708602905
11,0.42492246627807617
12,0.4310288727283478
13,0.41691550612449646
14,0.42597293853759766
15,0.41205471754074097
16,0.42501556873321533
17,0.4211430549621582
18,0.41289281845092773
19,0.41552555561065674
20,0.4080132842063904
21,0.4179553985595703
22,0.4145509600639343
23,0.4138878881931305
24,0.4133351743221283
25,0.4209592938423157
26,0.4020429253578186
27,0.41940176486968994
28,0.41806769371032715
29,0.41639792919158936
30,0.41574180126190186
31,0.41505783796310425
32,0.41037362813949585
33,0.412251353263855
34,0.42543163895606995
35,0.438396155834198
36,0.41145649552345276
37,0.41569390892982483
38,0.4159175455570221
39,0.4134480953216553
40,0.41729843616485596
41,0.43888241052627563
42,0.40460142493247986
43,0.4066469669342041
44,0.4091900587081909
45,0.42174163460731506
46,0.4130517840385437
47,0.40561643242836
48,0.4107323884963989
49,0.4220289885997772
50,0.40707939863204956
